planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,stellar_temp_k,distance_parsecs,distance_light_years
Kepler-1167 b,Kepler-1167,Transit,2016,1.00393373900,1.71000000,3.57000000,1419.00,4971.00,820.90500000,2677.43
Kepler-1740 b,Kepler-1740,Transit,2021,8.17240047500,3.32321414,11.00000000,858.00,5705.00,1061.77000000,3463.03
Kepler-1581 b,Kepler-1581,Transit,2016,6.28385491000,0.80000000,0.43700000,1108.00,6022.00,493.17500000,1608.52
Kepler-644 b,Kepler-644,Transit,2016,3.17391710300,3.15000000,10.10000000,1655.00,6747.00,1318.05000000,4298.9
Kepler-1752 b,Kepler-1752,Transit,2021,56.35850143000,4.54060463,18.70000000,419.00,5446.00,962.88800000,3140.52
Kepler-280 c,Kepler-280,Transit,2014,4.80709100000,2.01000000,4.70000000,1088.00,5744.00,780.36100000,2545.19
Kepler-1208 b,Kepler-1208,Transit,2016,11.08507637000,2.32000000,5.99000000,665.00,5001.00,825.17600000,2691.36
Kepler-263 c,Kepler-263,Transit,2014,47.33277300000,2.47000000,6.66000000,386.00,5265.00,754.74700000,2461.65
Kepler-1101 b,Kepler-1101,Transit,2016,81.31510590000,2.47000000,6.66000000,393.00,5614.00,742.47300000,2421.62
HD 168746 b,HD 168746,Radial Velocity,2002,6.40400000000,11.10000000,85.81410000,900.00,5570.00,41.56810000,135.58
Kepler-560 b,Kepler-560,Transit,2016,18.47764449000,1.72000000,3.61000000,298.00,3556.00,109.30800000,356.51
Kepler-150 d,Kepler-150,Transit,2014,12.56093000000,2.79000000,8.20000000,734.00,5560.00,891.09200000,2906.35
Kepler-498 b,Kepler-498,Transit,2016,9.61375356000,3.03000000,9.43000000,931.00,5744.00,938.84400000,3062.1
Kepler-817 b,Kepler-817,Transit,2016,3.99010622900,9.03000000,60.20000000,1124.00,5861.00,1484.46000000,4841.66
Kepler-937 b,Kepler-937,Transit,2016,67.66882700000,3.72000000,13.40000000,495.00,6095.00,1571.46000000,5125.41
K2-10 b,K2-10,Transit,2015,19.30553000000,3.77300000,25.20000000,649.00,5533.00,272.36000000,888.32
Kepler-571 b,Kepler-571,Transit,2016,4.79859938800,2.64000000,7.46000000,978.00,5527.00,723.87500000,2360.96
Kepler-1458 b,Kepler-1458,Transit,2016,47.98727640000,2.76000000,8.05000000,493.00,5653.00,544.45000000,1775.76
K2-335 b,K2-335,Transit,2021,12.28321100000,2.21000000,5.52000000,949.00,6222.00,557.99300000,1819.93
Kepler-1600 c,Kepler-1600,Transit,2021,7.29804992700,1.94206512,4.43000000,786.00,5119.00,1030.81000000,3362.05
Kepler-221 d,Kepler-221,Transit,2014,10.04156000000,2.73000000,3.61000000,712.00,5243.00,385.23100000,1256.45
